player_id,player_display_name,season_n,season_n1,breakout,touch_share,touches,carries,targets,yards_per_carry,ppr_per_touch,rush_yards_over_expected_per_att,has_ngs_rushing,avg_snap_pct,age,years_exp,draft_number,games_played,ppr_ppg,pos_rank,team_pos_rank,forty,vertical,broad_jump,cone,shuttle,combine_weight
00-0034799,Kalen Ballage,2018,2019,0,0.11407766990291263,47,36,11,5.305555555555555,0.8021276595744682,,0,0.1391666666666666,22.0,0.0,131.0,10,3.770000000000001,83.0,3.0,4.46,33.5,122.0,6.91,4.35,228.0
00-0034799,Kalen Ballage,2019,2020,0,0.3081761006289308,98,74,24,1.8243243243243243,0.5285714285714286,,0,0.3266666666666666,23.0,1.0,300.0,12,4.316666666666666,78.0,1.0,4.46,33.5,122.0,6.91,4.35,228.0
00-0034799,Kalen Ballage,2020,2021,0,0.22417153996101363,115,88,27,3.2954545454545454,0.668695652173913,-0.5748614336924078,1,0.3854545454545455,24.0,2.0,131.0,8,9.6125,38.0,3.0,4.46,33.5,122.0,6.91,4.35,228.0
00-0034816,Ronald Jones,2018,2019,0,0.08579088471849866,32,23,9,1.9130434782608696,0.646875,,0,0.1366666666666666,21.0,0.0,38.0,6,3.45,84.0,3.0,4.65,36.5,,,,205.0
00-0034816,Ronald Jones,2019,2020,0,0.4742729306487696,212,172,40,4.209302325581396,0.784433962264151,0.0780800462806939,1,0.364375,22.0,1.0,38.0,16,10.39375,35.0,1.0,4.65,36.5,,,,205.0
00-0034816,Ronald Jones,2020,2021,0,0.5282167042889391,234,192,42,5.09375,0.7961538461538462,0.9918683163092176,1,0.4458823529411764,23.0,2.0,38.0,14,13.30714285714286,22.0,1.0,4.65,36.5,,,,205.0
00-0034838,Royce Freeman,2018,2019,0,0.31645569620253167,150,130,20,4.007692307692308,0.6753333333333333,-0.0260631893786751,1,0.3257142857142857,22.0,0.0,71.0,14,7.235714285714286,63.0,2.0,4.54,34.0,118.0,6.9,4.16,229.0
00-0034838,Royce Freeman,2019,2020,0,0.3913978494623656,182,132,50,3.757575757575758,0.7813186813186812,-0.9790903385401856,1,0.503125,23.0,1.0,71.0,16,8.8875,45.0,2.0,4.54,34.0,118.0,6.9,4.16,229.0
00-0034838,Royce Freeman,2020,2021,0,0.10933940774487472,48,35,13,4.857142857142857,0.7729166666666667,,0,0.178125,24.0,2.0,71.0,11,3.372727272727273,93.0,3.0,4.54,34.0,118.0,6.9,4.16,229.0
00-0034844,Saquon Barkley,2018,2019,0,0.8110403397027601,382,261,121,5.007662835249042,1.0099476439790576,1.535578982625696,1,0.83,21.0,0.0,2.0,16,24.1125,2.0,1.0,4.4,41.0,,,4.24,233.0
