season,season_type,week,player_display_name,player_position,team_abbr,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,receptions,targets,catch_percentage,yards,rec_touchdowns,avg_yac,avg_expected_yac,avg_yac_above_expectation,player_gsis_id,player_first_name,player_last_name,player_jersey_number,player_short_name
2016,REG,0,Tyreek Hill,WR,KC,7.822638888888889,3.51871428008136,7.870602409638554,16.708057853881865,61,83,73.49397590361446,599.0,6,4.670655737704918,5.3315702868677315,-0.6609145491628139,00-0033040,Tyreek,Hill,10,T.Hill
2016,REG,0,Richard Rodgers,TE,GB,7.60578947368421,2.6938820804794577,8.38127659574468,6.884246030705778,30,47,63.829787234042556,271.0,2,3.347666666666666,3.2744280250080995,0.07323864165856664,00-0031384,Richard,Rodgers,82,
2016,REG,0,Travis Benjamin,WR,LAC,7.601111111111111,3.0174261849707245,13.329866666666668,19.536130722888036,47,75,62.66666666666667,677.0,4,5.679361702127658,4.96871083642785,0.7106508656998081,00-0029269,Travis,Benjamin,12,
2016,REG,0,Cordarrelle Patterson,WR,MIN,7.466268656716418,3.23044503445249,5.564,9.530008221430528,52,70,74.28571428571429,453.0,2,6.278461538461538,5.619059983353808,0.6594015551077295,00-0030578,Cordarrelle,Patterson,84,C.Patterson
2016,REG,0,DeSean Jackson,WR,WAS,7.295833333333334,2.8862852196325024,16.035399999999996,28.085914306381916,56,100,56.00000000000001,1005.0,4,4.867142857142858,5.051773002105554,-0.18463014496269547,00-0026189,DeSean,Jackson,11,D.Jackson
2016,REG,0,Albert Wilson,WR,KC,7.21409090909091,3.505559892066392,7.72607843137255,10.077880225584105,31,51,60.78431372549019,279.0,2,5.222580645161289,5.1966671712968076,0.025913473864481062,00-0030669,Albert,Wilson,12,A.Wilson
2016,REG,0,Brandin Cooks,WR,NO,7.149210526315788,2.8473033548769573,13.449059829059827,30.874066051359332,78,117,66.66666666666666,1173.0,8,4.596923076923077,4.10761506025108,0.4893080166719974,00-0031236,Brandin,Cooks,10,B.Cooks
2016,REG,0,Rishard Matthews,WR,TEN,7.1388461538461545,2.167099764435854,13.507592592592593,29.932126325465358,65,108,60.18518518518518,945.0,9,3.8590769230769237,3.9598145537373233,-0.10073763066039954,00-0029580,Rishard,Matthews,18,R.Matthews
2016,REG,0,Taylor Gabriel,WR,ATL,7.0809999999999995,3.158981834854208,11.190999999999999,11.637507903231173,35,50,70.0,579.0,6,7.892,6.3763773191361715,1.515622680863829,00-0031228,Taylor,Gabriel,18,T.Gabriel
2016,REG,0,Phillip Dorsett,WR,IND,7.072542372881356,2.902843283586208,13.835423728813561,15.613272687627438,33,59,55.932203389830505,528.0,2,4.325151515151516,4.658525747314787,-0.3333742321632709,00-0032208,Phillip,Dorsett,15,P.Dorsett
