season,season_type,week,player_display_name,player_position,team_abbr,efficiency,percent_attempts_gte_eight_defenders,avg_time_to_los,rush_attempts,rush_yards,avg_rush_yards,rush_touchdowns,player_gsis_id,player_first_name,player_last_name,player_jersey_number,player_short_name,expected_rush_yards,rush_yards_over_expected,rush_yards_over_expected_per_att,rush_pct_over_expected
2016,REG,0,DeMarco Murray,RB,TEN,4.187264224473888,46.75767918088737,2.9033038461538467,293,1283,4.378839590443686,9,00-0028009,DeMarco,Murray,29,D.Murray,,,,
2016,REG,0,Jordan Howard,RB,CHI,3.616641279512565,27.77777777777778,2.7219004329004335,252,1313,5.2103174603174605,6,00-0032780,Jordan,Howard,24,J.Howard,,,,
2016,REG,0,Le'Veon Bell,RB,PIT,3.9478785488958983,24.521072796934863,3.072778225806453,261,1268,4.85823754789272,7,00-0030496,Le'Veon,Bell,26,L.Bell,,,,
2016,REG,0,Jacquizz Rodgers,RB,TB,3.6650178571428587,24.8062015503876,2.680044642857143,129,560,4.341085271317829,2,00-0028083,Jacquizz,Rodgers,32,J.Rodgers,,,,
2016,REG,0,Ezekiel Elliott,RB,DAL,3.6513059472716116,28.88198757763975,2.805418918918917,322,1631,5.065217391304348,15,00-0033045,Ezekiel,Elliott,21,E.Elliott,,,,
2016,REG,0,Darren Sproles,RB,PHI,3.9798858447488596,10.638297872340425,2.8127926829268297,94,438,4.659574468085107,2,00-0023564,Darren,Sproles,43,D.Sproles,,,,
2016,REG,0,Terrance West,RB,BAL,4.158560311284045,21.875,2.804792899408283,192,771,4.015625,5,00-0031375,Terrance,West,28,T.West,,,,
2016,REG,0,DeAngelo Williams,RB,PIT,4.957172011661808,24.489795918367346,3.0757142857142856,98,343,3.5,4,00-0024242,DeAngelo,Williams,34,D.Williams,,,,
2016,REG,0,Matt Jones,RB,WAS,3.8946086956521753,29.292929292929294,2.8340227272727274,99,460,4.646464646464646,3,00-0031939,Matt,Jones,31,,,,,
2016,REG,0,Theo Riddick,RB,DET,4.525714285714288,13.043478260869565,2.7401351351351346,92,357,3.880434782608696,1,00-0030107,Theo,Riddick,25,,,,,
2016,REG,0,Frank Gore,RB,IND,3.7029941291585113,20.912547528517113,2.3430564516129038,263,1022,3.8859315589353614,4,00-0023500,Frank,Gore,23,F.Gore,,,,
2016,REG,0,Alfred Blue,RB,HOU,3.7713333333333314,20.0,2.400329787234043,100,420,4.2,1,00-0031075,Alfred,Blue,28,A.Blue,,,,
2016,REG,0,Lamar Miller,RB,HOU,4.027347703842548,26.591760299625467,2.5244837398373976,267,1067,3.9962546816479403,5,00-0029615,Lamar,Miller,26,L.Miller,,,,
2016,REG,0,Rob Kelley,RB,WAS,4.077017045454545,22.61904761904762,2.684644736842105,168,704,4.190476190476191,6,00-0032371,Robert,Kelley,32,R.Kelley,,,,
2016,REG,0,Christine Michael,RB,GB,4.576466552315608,20.945945945945947,2.6025859374999993,148,583,3.939189189189189,7,00-0030432,Christine,Michael,32,C.Michael,,,,
2016,REG,0,Spencer Ware,RB,KC,3.966449511400651,21.962616822429908,2.820456852791878,214,921,4.303738317757009,3,00-0030414,Spencer,Ware,32,S.Ware,,,,
2016,REG,0,Ryan Mathews,RB,PHI,4.391981845688351,21.935483870967744,2.6877058823529403,155,661,4.264516129032258,8,00-0027864,Ryan,Mathews,24,,,,,
2016,REG,0,Justin Forsett,RB,DEN,5.292508591065294,8.045977011494253,2.806716216216217,87,291,3.3448275862068964,1,00-0026373,Justin,Forsett,20,J.Forsett,,,,
2016,REG,0,Thomas Rawls,RB,SEA,4.920143266475645,18.34862385321101,2.5330967741935493,109,349,3.2018348623853212,3,00-0031897,Thomas,Rawls,34,T.Rawls,,,,
2016,REG,0,Zach Zenner,FB,DET,3.9841616766467065,19.318181818181817,2.581418918918919,88,334,3.7954545454545454,4,00-0031665,Zach,Zenner,34,Z.Zenner,,,,
2016,REG,0,Derrick Henry,RB,TEN,4.1207346938775515,52.72727272727272,2.793009803921568,110,490,4.454545454545454,5,00-0032764,Derrick,Henry,22,D.Henry,,,,
2016,REG,0,Mike Gillislee,RB,BUF,3.4515944540727914,45.54455445544555,2.6981170212765955,101,577,5.712871287128713,8,00-0030433,Mike,Gillislee,35,M.Gillislee,,,,
2017,REG,0,Samaje Perine,RB,WAS,4.455854063018243,38.285714285714285,2.787753164556963,175,603,3.4457142857142857,1,00-0033526,Samaje,Perine,32,S.Perine,,,,
2017,REG,0,Ezekiel Elliott,RB,DAL,4.001637843336724,35.12396694214876,2.9013677130044853,242,983,4.06198347107438,7,00-0033045,Ezekiel,Elliott,21,E.Elliott,,,,
2017,REG,0,Tevin Coleman,RB,ATL,4.284012738853502,24.358974358974358,2.7700222222222224,156,628,4.0256410256410255,5,00-0032058,Tevin,Coleman,26,T.Coleman,,,,
2017,REG,0,Jamaal Williams,RB,GB,3.618111510791367,21.568627450980394,2.721156462585032,153,556,3.633986928104575,4,00-0033948,Jamaal,Williams,30,J.Williams,,,,
2017,REG,0,Melvin Gordon,RB,LAC,4.150705882352943,29.577464788732392,2.695591093117408,284,1105,3.890845070422535,8,00-0032144,Melvin,Gordon,28,M.Gordon,,,,
2017,REG,0,Derrick Henry,RB,TEN,4.332930107526883,50.0,2.99298,176,744,4.2272727272727275,5,00-0032764,Derrick,Henry,22,D.Henry,,,,
2017,REG,0,DeMarco Murray,RB,TEN,4.350713201820944,35.32608695652174,2.7859580838323357,184,659,3.5815217391304346,6,00-0028009,DeMarco,Murray,29,D.Murray,,,,
2017,REG,0,Chris Ivory,RB,JAX,4.4984554973821975,50.89285714285714,2.6619622641509433,112,382,3.4107142857142856,1,00-0027531,Christopher,Ivory,33,C.Ivory,,,,
2017,REG,0,Matt Breida,RB,SF,4.314150537634409,27.61904761904762,2.6899052631578955,105,465,4.428571428571429,2,00-0033308,Matthew,Breida,22,M.Breida,,,,
2017,REG,0,Doug Martin,RB,TB,5.111403940886699,33.33333333333333,2.9158474576271196,138,406,2.9420289855072466,3,00-0029613,Douglas,Martin,22,D.Martin,,,,
2017,REG,0,Frank Gore,RB,IND,3.7317065556711766,26.053639846743295,2.5531659574468093,261,961,3.681992337164751,3,00-0023500,Frank,Gore,23,F.Gore,,,,
2017,REG,0,Marlon Mack,RB,IND,4.643798882681563,21.50537634408602,3.064878378378378,93,358,3.849462365591398,3,00-0033951,Marlon,Mack,25,M.Mack,,,,
2017,REG,0,Ameer Abdullah,RB,DET,5.099474637681157,18.787878787878785,3.0355407407407413,165,552,3.3454545454545452,4,00-0032104,Ameer,Abdullah,21,A.Abdullah,,,,
2017,REG,0,C.J. Anderson,RB,DEN,3.6432571996027803,22.040816326530614,2.551026785714285,245,1007,4.110204081632653,3,00-0029854,Cortrelle,Anderson,22,C.Anderson,,,,
2017,REG,0,Carlos Hyde,RB,SF,4.492354188759282,37.916666666666664,2.8121787439613555,240,943,3.9291666666666667,8,00-0031045,Carlos,Hyde,28,C.Hyde,,,,
2017,REG,0,Latavius Murray,RB,MIN,3.8630760095011882,38.88888888888889,2.6756718750000004,216,842,3.8981481481481484,8,00-0030513,Latavius,Murray,25,L.Murray,,,,
2017,REG,0,Bilal Powell,RB,NYJ,3.9939766839378255,33.70786516853933,2.9672987012987013,178,772,4.337078651685394,5,00-0028064,Bilal,Powell,29,B.Powell,,,,
2017,REG,0,Marshawn Lynch,RB,LV,3.81117117117117,33.81642512077295,2.7203817204301064,207,888,4.2898550724637685,7,00-0025399,Marshawn,Lynch,24,M.Lynch,,,,
2017,REG,0,Jordan Howard,RB,CHI,4.654429590017826,43.11594202898551,2.9976853448275858,276,1122,4.065217391304348,9,00-0032780,Jordan,Howard,24,Jo.Howard,,,,
2017,REG,0,Matt Forte,RB,NYJ,3.9266315789473683,18.446601941747574,2.7216808510638297,103,380,3.6893203883495147,2,00-0026184,Matt,Forte,22,M.Forte,,,,
2017,REG,0,Mike Gillislee,RB,NE,4.206187989556136,50.96153846153846,2.5775729166666665,104,383,3.6826923076923075,5,00-0030433,Mike,Gillislee,35,M.Gillislee,,,,
2017,REG,0,Devonta Freeman,RB,ATL,4.102231213872832,27.55102040816326,2.8622707182320437,196,865,4.413265306122449,7,00-0031285,Devonta,Freeman,24,D.Freeman,,,,
2017,REG,0,Tarik Cohen,RB,CHI,5.303783783783783,24.137931034482758,3.334921875,87,370,4.252873563218391,2,00-0033556,Tarik,Cohen,29,T.Cohen,,,,
2017,REG,0,Lamar Miller,RB,HOU,3.7298761261261277,24.369747899159663,2.5906203703703703,238,888,3.73109243697479,3,00-0029615,Lamar,Miller,26,L.Miller,,,,
2017,REG,0,Peyton Barber,RB,TB,3.896879432624114,33.33333333333333,2.8691372549019607,108,423,3.9166666666666665,3,00-0032741,Kenneth,Barber,25,P.Barber,,,,
2017,REG,0,Christian McCaffrey,RB,CAR,4.627517241379312,21.367521367521366,2.8237692307692317,117,435,3.717948717948718,2,00-0033280,Christian,McCaffrey,22,C.McCaffrey,,,,
2017,REG,0,Adrian Peterson,RB,ARI,4.813100189035917,39.743589743589745,2.7797819548872176,156,529,3.391025641025641,2,00-0025394,Adrian,Peterson,23,A.Peterson,,,,
2017,REG,0,Alex Collins,RB,BAL,4.229260020554985,32.54716981132076,3.017918032786884,212,973,4.589622641509434,6,00-0032426,Alex,Collins,34,A.Collins,,,,
2017,REG,0,Javorius Allen,RB,BAL,3.774382402707274,41.830065359477125,2.413280303030302,153,591,3.8627450980392157,4,00-0031577,Javorius,Allen,37,J.Allen,,,,
2017,REG,0,Todd Gurley,RB,LAR,3.860321839080458,16.845878136200717,2.777752032520325,279,1305,4.67741935483871,13,00-0032241,Todd,Gurley,30,T.Gurley,,,,
2017,REG,0,Leonard Fournette,RB,JAX,4.006115384615384,48.507462686567166,2.5232033898305075,268,1040,3.8805970149253732,9,00-0033856,Leonard,Fournette,27,L.Fournette,,,,
2017,REG,0,Alfred Morris,RB,DAL,3.5065447897623394,38.26086956521739,2.8056990291262136,115,547,4.756521739130434,1,00-0029141,Alfred,Morris,46,A.Morris,,,,
2017,REG,0,Kerwynn Williams,RB,ARI,4.12249411764706,35.833333333333336,2.683718181818183,120,425,3.5416666666666665,1,00-0030117,Kerwynn,Williams,33,K.Williams,,,,
2017,REG,0,Jonathan Stewart,RB,CAR,4.63205882352941,51.010101010101,2.837988636363636,198,680,3.4343434343434343,6,00-0026153,Jonathan,Stewart,28,J.Stewart,,,,
2017,REG,0,Jerick McKinnon,RB,MIN,4.823631578947368,22.666666666666664,3.0078571428571435,150,570,3.8,3,00-0031376,Jerick,McKinnon,21,J.McKinnon,,,,
2017,REG,0,Orleans Darkwa,RB,NYG,3.3385543766578274,44.44444444444444,2.5939999999999985,171,754,4.409356725146199,5,00-0030860,Orleans,Darkwa,26,O.Darkwa,,,,
2017,REG,0,Kareem Hunt,RB,KC,3.581522230595328,23.161764705882355,2.8887137096774187,272,1327,4.8786764705882355,8,00-0033923,Kareem,Hunt,27,K.Hunt,,,,
2017,REG,0,Kenyan Drake,RB,MIA,3.6077484472049686,20.30075187969925,2.895517857142859,133,644,4.842105263157895,3,00-0033118,Kenyan,Drake,32,K.Drake,,,,
2017,REG,0,LeGarrette Blount,RB,PHI,3.5785248041775457,26.011560693641616,2.635813333333333,173,766,4.427745664739884,2,00-0027325,LeGarrette,Blount,29,L.Blount,,,,
2017,REG,0,Wayne Gallman,RB,NYG,3.6519537815126033,18.01801801801802,2.63089108910891,111,476,4.288288288288288,0,00-0033950,Wayne,Gallman,22,W.Gallman,,,,
2017,REG,0,Le'Veon Bell,RB,PIT,4.16745933384973,19.937694704049843,3.0933664383561643,321,1291,4.021806853582555,9,00-0030496,Le'Veon,Bell,26,L.Bell,,,,
2017,REG,0,Alvin Kamara,RB,NO,3.2292582417582407,16.666666666666664,2.763410714285715,120,728,6.066666666666666,8,00-0033906,Alvin,Kamara,41,A.Kamara,,,,
2017,REG,0,Elijah McGuire,RB,NYJ,5.186222222222222,25.0,3.1978142857142857,88,315,3.5795454545454546,1,00-0033295,Elijah,McGuire,25,E.McGuire,,,,
2017,REG,0,Dion Lewis,RB,NE,3.304776785714285,28.333333333333332,2.6915155279503096,180,896,4.977777777777778,6,00-0028087,Dion,Lewis,33,D.Lewis,,,,
2017,REG,0,LeSean McCoy,RB,BUF,4.297196836555361,35.88850174216028,2.953293103448276,287,1138,3.965156794425087,6,00-0027029,LeSean,McCoy,25,L.McCoy,,,,
2017,REG,0,Mark Ingram,RB,NO,3.4052804986642915,42.173913043478265,2.655408256880734,230,1123,4.8826086956521735,12,00-0027966,Mark,Ingram,22,M.Ingram,,,,
2017,REG,0,Isaiah Crowell,RB,CLE,3.7337866354044555,29.126213592233007,2.7402270270270273,206,853,4.140776699029126,2,00-0030656,Isaiah,Crowell,34,I.Crowell,,,,
2017,REG,0,Jay Ajayi,RB,PHI,4.261454753722794,22.115384615384613,2.7566395348837207,208,873,4.197115384615385,1,00-0031590,Jay,Ajayi,36,J.Ajayi,,,,
2017,REG,0,Giovani Bernard,RB,CIN,3.758733624454148,12.380952380952381,2.732787234042554,105,458,4.3619047619047615,2,00-0030456,Giovani,Bernard,25,G.Bernard,,,,
2017,REG,0,Joe Mixon,RB,CIN,4.48132587859425,24.719101123595504,2.88316,178,626,3.5168539325842696,4,00-0033897,Joe,Mixon,28,J.Mixon,,,,
2018,REG,0,Chris Ivory,RB,BUF,4.611350649350649,20.869565217391305,2.778851485148515,115,385,3.347826086956522,1,00-0027531,Christopher,Ivory,33,C.Ivory,434.32687097901,-53.32687097900998,-0.46777956999131565,0.3684210526315789
2018,REG,0,Dion Lewis,RB,TEN,4.5762282398452605,27.09677419354839,2.8167244094488186,155,517,3.335483870967742,1,00-0028087,Dion,Lewis,33,D.Lewis,581.0780755054474,-64.07807550544737,-0.41340693874482176,0.3419354838709677
2018,REG,0,Latavius Murray,RB,MIN,3.756297577854671,27.857142857142858,2.8025813953488377,140,578,4.128571428571429,6,00-0030513,Latavius,Murray,25,L.Murray,527.6837217467638,37.31627825323619,0.27040781342924775,0.391304347826087
2018,REG,0,Wendell Smallwood,RB,PHI,3.872554945054944,6.896551724137931,2.7646913580246903,87,364,4.183908045977011,3,00-0032782,Wendell,Smallwood,28,W.Smallwood,405.5251109911501,-41.525110991150086,-0.47730012633505847,0.39080459770114945
2018,REG,0,Nick Chubb,RB,CLE,3.4788755020080324,33.85416666666667,2.954226190476191,192,996,5.1875,8,00-0034791,Nicholas,Chubb,24,N.Chubb,764.5794108632376,192.42058913676237,1.0289871076832213,0.35294117647058826
2018,REG,0,Nyheim Hines,RB,IND,4.204331210191083,11.76470588235294,2.7251447368421053,85,314,3.6941176470588237,2,00-0034367,Nyheim,Hines,21,N.Hines,377.3749200867481,-72.37492008674809,-0.8616061915089058,0.30952380952380953
2018,REG,0,James White,RB,NE,3.5154823529411754,11.702127659574469,2.668510869565218,94,425,4.5212765957446805,5,00-0031062,James,White,28,J.White,425.07781862393495,-7.077818623934945,-0.07693281112972766,0.33695652173913043
2018,REG,0,Saquon Barkley,RB,NYG,3.603037490436113,22.988505747126435,2.929396475770926,261,1307,5.007662835249042,11,00-0034844,Saquon,Barkley,26,S.Barkley,900.3562014651961,394.64379853480386,1.535578982625696,0.3968871595330739
2018,REG,0,David Johnson,RB,ARI,3.997744680851062,25.581395348837212,2.6319705882352937,258,940,3.643410852713178,7,00-0032187,David,Johnson,31,D.Johnson,958.040899470446,-40.04089947044599,-0.16016359788178397,0.38
2018,REG,0,T.J. Yeldon,RB,JAX,3.8088647342995157,21.153846153846153,2.750267326732674,104,414,3.980769230769231,1,00-0032209,Timothy,Yeldon,24,T.Yeldon,409.4531136706836,3.5468863293164077,0.034435789605013666,0.4174757281553398
2018,REG,0,Kenyan Drake,RB,MIA,4.05185046728972,10.0,2.740392156862745,120,535,4.458333333333333,4,00-0033118,Kenyan,Drake,32,K.Drake,513.9189319775082,13.081068022491763,0.1118040001922373,0.37606837606837606
2018,REG,0,Royce Freeman,RB,DEN,4.223704414587333,41.53846153846154,2.9297142857142866,130,521,4.007692307692308,5,00-0034838,Royce,Freeman,28,R.Freeman,517.3360882404704,-3.336088240470417,-0.026063189378675133,0.421875
2018,REG,0,Tevin Coleman,RB,ATL,4.2313375,25.748502994011975,2.8398455882352955,167,800,4.790419161676646,4,00-0032058,Tevin,Coleman,26,T.Coleman,792.1366793199729,-25.136679319972927,-0.1532724348778837,0.3231707317073171
2018,REG,0,Kerryon Johnson,RB,DET,3.4149921996879886,21.1864406779661,2.933306306306308,118,641,5.432203389830509,3,00-0034349,Kerryon,Johnson,33,K.Johnson,488.85710637109725,152.14289362890275,1.289346556177142,0.4491525423728814
2018,REG,0,Christian McCaffrey,RB,CAR,3.4409016393442613,19.63470319634703,2.753533980582524,219,1098,5.013698630136986,7,00-0033280,Christian,McCaffrey,22,C.McCaffrey,981.3053778871847,96.6946221128153,0.45184402856455746,0.37850467289719625
2018,REG,0,Alex Collins,RB,BAL,4.908272506082727,34.21052631578947,2.984857142857141,114,411,3.6052631578947367,7,00-0032426,Alex,Collins,34,A.Collins,432.3905322746369,-39.39053227463688,-0.3613810300425402,0.4036697247706422
2018,REG,0,Peyton Barber,RB,TB,4.040838117106775,22.64957264957265,2.7486763285024156,234,871,3.7222222222222223,5,00-0032741,Kenneth,Barber,25,P.Barber,861.2315575983256,-1.231557598325594,-0.005377980778714384,0.4148471615720524
2018,REG,0,Austin Ekeler,RB,LAC,3.9058844765342973,28.30188679245283,2.90345918367347,106,554,5.226415094339623,3,00-0033699,Austin,Ekeler,30,A.Ekeler,542.4127268846614,6.587273115338576,0.0639541079159085,0.36893203883495146
2018,REG,0,Alvin Kamara,RB,NO,3.9554813137032836,22.164948453608247,2.6502888888888894,194,883,4.551546391752577,14,00-0033906,Alvin,Kamara,41,A.Kamara,953.4776870604439,-82.47768706044394,-0.4318203511018007,0.35602094240837695
2018,REG,0,LeGarrette Blount,RB,DET,5.058684210526318,38.961038961038966,2.8273153846153853,154,418,2.7142857142857144,5,00-0027325,LeGarrette,Blount,29,L.Blount,569.6776328663933,-151.6776328663933,-0.9849196939376189,0.2662337662337662
2018,REG,0,Lamar Miller,RB,HOU,3.5045015416238443,23.333333333333332,2.750461538461539,210,973,4.633333333333334,5,00-0029615,Lamar,Miller,26,L.Miller,834.4549719812154,129.5450280187846,0.6198326699463378,0.3827751196172249
2018,REG,0,Kareem Hunt,RB,KC,3.795169902912621,16.022099447513813,2.7240062111801238,181,824,4.552486187845304,7,00-0033923,Kareem,Hunt,27,K.Hunt,720.3247340577872,93.67526594221283,0.5292387906339708,0.384180790960452
2018,REG,0,Chris Carson,RB,SEA,3.6535534317984344,22.267206477732792,2.8249567099567083,247,1151,4.659919028340081,9,00-0033594,Christopher,Carson,32,C.Carson,1036.970582587672,110.02941741232803,0.44909966290746134,0.4448979591836735
2018,REG,0,Carlos Hyde,RB,JAX,4.805078809106829,34.30232558139535,2.9328627450980393,172,571,3.3197674418604652,5,00-0031045,Carlos,Hyde,34,C.Hyde,631.0069683665538,-94.00696836655379,-0.5767298672794711,0.4049079754601227
2018,REG,0,Leonard Fournette,RB,JAX,4.4396127562642365,35.338345864661655,2.6298461538461546,133,439,3.300751879699248,5,00-0033856,Leonard,Fournette,27,L.Fournette,459.1742974571945,-25.174297457194484,-0.19071437467571578,0.38636363636363635
2018,REG,0,Isaiah Crowell,RB,NYJ,3.6241459854014613,26.573426573426573,2.940309523809524,143,685,4.79020979020979,6,00-0030656,Isaiah,Crowell,20,I.Crowell,551.279690529745,133.72030947025496,0.9351070592325522,0.32167832167832167
2018,REG,0,Adrian Peterson,RB,WAS,4.30589251439539,16.733067729083665,2.9177559808612443,251,1042,4.151394422310757,7,00-0025394,Adrian,Peterson,26,A.Peterson,958.8803734219539,61.11962657804611,0.2484537665774232,0.35772357723577236
2018,REG,0,Alfred Morris,RB,SF,4.2728738317757005,36.03603603603604,2.711387096774194,111,428,3.855855855855856,2,00-0029141,Alfred,Morris,46,A.Morris,471.22963019975975,-58.229630199759754,-0.534216790823484,0.3577981651376147
2018,REG,0,Derrick Henry,RB,TEN,3.728508026440037,33.48837209302326,2.9210609137055843,215,1059,4.925581395348837,12,00-0032764,Derrick,Henry,22,D.Henry,815.974155167777,236.02584483222302,1.1081025578977606,0.47417840375586856
2018,REG,0,Joe Mixon,HB,CIN,3.482756849315068,17.72151898734177,2.7535194174757285,237,1168,4.928270042194093,8,00-0033897,Joe,Mixon,28,J.Mixon,975.5926720598943,174.4073279401057,0.7485293044639729,0.39914163090128757
2018,REG,0,Tarik Cohen,RB,CHI,4.958040540540539,5.05050505050505,3.246964705882353,99,444,4.484848484848484,3,00-0033556,Tarik,Cohen,29,T.Cohen,476.4309923677337,-42.43099236773372,-0.4513935358269545,0.3617021276595745
2018,REG,0,Aaron Jones,RB,GB,3.386002747252748,13.533834586466165,2.6523833333333338,133,728,5.473684210526316,8,00-0033293,Aaron,Jones,33,A.Jones,626.9788502136167,87.02114978638326,0.6693934598952559,0.4307692307692308
2018,REG,0,Alfred Blue,RB,HOU,4.385531062124249,22.666666666666664,2.6837014925373133,150,499,3.3266666666666667,2,00-0031075,Alfred,Blue,28,A.Blue,538.1550274154225,-51.15502741542252,-0.3479933837783845,0.36054421768707484
2018,REG,0,Jordan Howard,RB,CHI,3.7011443850267396,14.000000000000002,2.5172699115044255,250,935,3.74,9,00-0032780,Jordan,Howard,24,J.Howard,1039.676667656024,-112.67666765602394,-0.4543414018388062,0.3346774193548387
2018,REG,0,James Conner,RB,PIT,3.635200411099691,28.37209302325581,2.8486243654822334,215,973,4.525581395348837,12,00-0033553,James,Conner,30,J.Conner,836.8565536216198,117.14344637838019,0.5604949587482305,0.4019138755980861
2018,REG,0,Sony Michel,RB,NE,3.7130290010741143,26.794258373205743,2.7008426395939082,209,931,4.454545454545454,6,00-0034845,Sony,Michel,26,S.Michel,979.2633849176829,-60.263384917682856,-0.2954087495964846,0.35784313725490197
